"STATEFP","STUSPS","NAME","YEAR","CASES_A","CASES_EC","POP","RATE_A","RATE_EC"
"01","AL","Alabama",2008,NA,9,4718206,NA,1.90750467444618
"01","AL","Alabama",2009,2,8,4757938,0.420350160090358,1.68140064036143
"01","AL","Alabama",2010,7,12,4785437,1.46277132057114,2.50760797812196
"01","AL","Alabama",2011,4,5,4799069,0.833494996633722,1.04186874579215
"01","AL","Alabama",2012,11,10,4815588,2.28424856943742,2.07658960857947
"01","AL","Alabama",2013,3,11,4830081,0.621107596332235,2.27739451988486
"01","AL","Alabama",2014,7,10,4841799,1.44574361719683,2.0653480245669
"01","AL","Alabama",2015,7,9,4852347,1.44260086922885,1.85477254615138
"01","AL","Alabama",2016,6,12,4863525,1.23367310746835,2.4673462149367
"01","AL","Alabama",2017,6,11,4874486,1.23089901171118,2.25664818813717
"01","AL","Alabama",2018,5,16,4887681,1.02298001854049,3.27353605932957
"01","AL","Alabama",2019,7,30,4903185,1.42764346032222,6.11847197280951
"01","AL","Alabama",2020,2,10,5031864,0.397467022161171,1.98733511080586
"01","AL","Alabama",2021,11,13,5050380,2.17805392861527,2.57406373381805
"01","AL","Alabama",2022,4,6,5073903,0.788347747286458,1.18252162092969
"02","AK","Alaska",2008,NA,NA,687455,NA,NA
"02","AK","Alaska",2009,NA,NA,698895,NA,NA
"02","AK","Alaska",2010,NA,NA,713910,NA,NA
"02","AK","Alaska",2011,NA,NA,722128,NA,NA
"02","AK","Alaska",2012,NA,NA,730443,NA,NA
"02","AK","Alaska",2013,NA,NA,737068,NA,NA
"02","AK","Alaska",2014,NA,NA,736283,NA,NA
"02","AK","Alaska",2015,NA,NA,737498,NA,NA
"02","AK","Alaska",2016,NA,NA,741456,NA,NA
"02","AK","Alaska",2017,NA,NA,739700,NA,NA
"02","AK","Alaska",2018,NA,NA,735139,NA,NA
"02","AK","Alaska",2019,NA,NA,731545,NA,NA
"02","AK","Alaska",2020,NA,NA,732964,NA,NA
"02","AK","Alaska",2021,NA,NA,734923,NA,NA
"02","AK","Alaska",2022,NA,NA,733276,NA,NA
"04","AZ","Arizona",2008,0,0,6280362,0,0
"04","AZ","Arizona",2009,0,0,6343154,0,0
"04","AZ","Arizona",2010,0,0,6407172,0,0
"04","AZ","Arizona",2011,0,0,6472643,0,0
"04","AZ","Arizona",2012,0,0,6554978,0,0
"04","AZ","Arizona",2013,0,0,6632764,0,0
"04","AZ","Arizona",2014,0,0,6730413,0,0
"04","AZ","Arizona",2015,0,0,6829676,0,0
"04","AZ","Arizona",2016,0,0,6941072,0,0
"04","AZ","Arizona",2017,4,0,7044008,0.567858525998267,0
"04","AZ","Arizona",2018,1,1,7158024,0.139703359474626,0.139703359474626
"04","AZ","Arizona",2019,4,0,7278717,0.549547399631006,0
"04","AZ","Arizona",2020,0,0,7186683,0,0
"04","AZ","Arizona",2021,2,1,7272487,0.275009085612666,0.137504542806333
"04","AZ","Arizona",2022,4,4,7365684,0.543058865951893,0.543058865951893
"05","AR","Arkansas",2008,NA,87,2874554,NA,30.2655646754244
"05","AR","Arkansas",2009,6,38,2896843,2.07122029050245,13.1177285065155
"05","AR","Arkansas",2010,5,19,2921964,1.71117782423055,6.5024757320761
"05","AR","Arkansas",2011,8,53,2940667,2.7204712400282,18.0231219651868
"05","AR","Arkansas",2012,8,85,2952164,2.70987655157369,28.7924383604705
"05","AR","Arkansas",2013,7,164,2959400,2.36534432655268,55.4166385078056
"05","AR","Arkansas",2014,15,236,2967392,5.05494386990327,79.5311168864781
"05","AR","Arkansas",2015,16,192,2978048,5.37264678071005,64.4717613685206
"05","AR","Arkansas",2016,14,200,2989918,4.68240266121011,66.8914665887158
"05","AR","Arkansas",2017,5,197,3001345,1.66591977929895,65.6372393043785
"05","AR","Arkansas",2018,8,169,3009733,2.658043088872,56.1511602524211
"05","AR","Arkansas",2019,9,243,3017804,2.98230103744312,80.5221280109643
"05","AR","Arkansas",2020,11,160,3014348,3.64921369397296,53.0794719123339
"05","AR","Arkansas",2021,12,118,3028443,3.96243218049671,38.963916441551
"05","AR","Arkansas",2022,12,144,3046404,3.93907045815329,47.2688454978394
"06","CA","California",2008,NA,0,36604337,NA,0
"06","CA","California",2009,2,3,36961229,0.054110754812834,0.081166132219251
"06","CA","California",2010,0,2,37319502,0,0.053591283184861
"06","CA","California",2011,0,0,37638369,0,0
"06","CA","California",2012,0,0,37948800,0,0
"06","CA","California",2013,0,0,38260787,0,0
"06","CA","California",2014,5,0,38596972,0.129543840900265,0
"06","CA","California",2015,3,0,38918045,0.077085064267745,0
"06","CA","California",2016,5,0,39167117,0.127658106671471,0
"06","CA","California",2017,8,0,39358497,0.203259794193869,0
"06","CA","California",2018,5,0,39461588,0.126705493960355,0
"06","CA","California",2019,7,0,39512223,0.177160368830678,0
"06","CA","California",2020,7,0,39503200,0.177200834362786,0
"06","CA","California",2021,13,0,39145060,0.332098098712839,0
"06","CA","California",2022,16,0,39040616,0.40982959900018,0
"08","CO","Colorado",2008,NA,NA,4889730,NA,NA
