"STATEFP","STUSPS","NAME","YEAR","CASES","POP","RATE"
"01","AL","Alabama",2011,1,4799069,0.020837374915843
"01","AL","Alabama",2012,0,4815588,0
"01","AL","Alabama",2013,0,4830081,0
"01","AL","Alabama",2014,1,4841799,0.020653480245669
"01","AL","Alabama",2015,2,4852347,0.041217167692253
"01","AL","Alabama",2016,0,4863525,0
"01","AL","Alabama",2017,1,4874486,0.02051498352852
"01","AL","Alabama",2018,0,4887681,0
"01","AL","Alabama",2019,0,4903185,0
"01","AL","Alabama",2020,1,5031864,0.0198733511080586
"01","AL","Alabama",2021,1,5050380,0.0198004902601388
"01","AL","Alabama",2022,0,5073903,0
"02","AK","Alaska",2011,NA,722128,NA
"02","AK","Alaska",2012,NA,730443,NA
"02","AK","Alaska",2013,NA,737068,NA
"02","AK","Alaska",2014,NA,736283,NA
"02","AK","Alaska",2015,NA,737498,NA
"02","AK","Alaska",2016,NA,741456,NA
"02","AK","Alaska",2017,NA,739700,NA
"02","AK","Alaska",2018,NA,735139,NA
"02","AK","Alaska",2019,NA,731545,NA
"02","AK","Alaska",2020,NA,732964,NA
"02","AK","Alaska",2021,NA,734923,NA
"02","AK","Alaska",2022,NA,733276,NA
"04","AZ","Arizona",2011,0,6472643,0
"04","AZ","Arizona",2012,0,6554978,0
"04","AZ","Arizona",2013,0,6632764,0
"04","AZ","Arizona",2014,0,6730413,0
"04","AZ","Arizona",2015,0,6829676,0
"04","AZ","Arizona",2016,0,6941072,0
"04","AZ","Arizona",2017,0,7044008,0
"04","AZ","Arizona",2018,0,7158024,0
"04","AZ","Arizona",2019,0,7278717,0
"04","AZ","Arizona",2020,0,7186683,0
"04","AZ","Arizona",2021,3,7272487,0.0412513628418999
"04","AZ","Arizona",2022,2,7365684,0.0271529432975946
"05","AR","Arkansas",2011,0,2940667,0
"05","AR","Arkansas",2012,0,2952164,0
"05","AR","Arkansas",2013,0,2959400,0
"05","AR","Arkansas",2014,0,2967392,0
"05","AR","Arkansas",2015,0,2978048,0
"05","AR","Arkansas",2016,1,2989918,0.033445733294358
"05","AR","Arkansas",2017,0,3001345,0
"05","AR","Arkansas",2018,2,3009733,0.0664510772218
"05","AR","Arkansas",2019,1,3017804,0.033136678193812
"05","AR","Arkansas",2020,1,3014348,0.0331746699452087
"05","AR","Arkansas",2021,2,3028443,0.0660405363416118
"05","AR","Arkansas",2022,1,3046404,0.0328255871512774
"06","CA","California",2011,1,37638369,0.002656863266312
"06","CA","California",2012,4,37948800,0.010540517750232
"06","CA","California",2013,3,38260787,0.007840926011271
"06","CA","California",2014,3,38596972,0.007772630454016
"06","CA","California",2015,5,38918045,0.012847510711291
"06","CA","California",2016,3,39167117,0.007659486400288
