"STATEFP","STUSPS","NAME","YEAR","CASES","POP","RATE"
"01","AL","Alabama",2000,14,4452173,3.144531895
"01","AL","Alabama",2001,18,4467634,4.028978202
"01","AL","Alabama",2002,16,4480089,3.571357623
"01","AL","Alabama",2003,21,4503491,4.663049177
"01","AL","Alabama",2004,54,4530729,11.91861177
"01","AL","Alabama",2005,72,4569805,15.7555957
"01","AL","Alabama",2006,94,4628981,20.30684507
"01","AL","Alabama",2007,96,4672840,20.54425146
"01","AL","Alabama",2008,93,4718206,19.71088164
"01","AL","Alabama",2009,68,4757938,14.29190544
"01","AL","Alabama",2010,83,4785437,17.34428852
"01","AL","Alabama",2011,79,4799069,16.46152618
"01","AL","Alabama",2012,167,4815588,34.67904646
"01","AL","Alabama",2013,255,4830081,52.79414569
"01","AL","Alabama",2014,220,4841799,45.43765654
"01","AL","Alabama",2015,288,4852347,59.35272148
"01","AL","Alabama",2016,453,4863525,93.14231961
"01","AL","Alabama",2017,671,4874486,137.6555395
"01","AL","Alabama",2018,673,4887681,137.6931105
"01","AL","Alabama",2019,476,4903185,97.0797553
"01","AL","Alabama",2020,88,5031864,17.4885489750915
"01","AL","Alabama",2021,123,5050380,24.3546030199708
"01","AL","Alabama",2022,118,5073903,23.2562585449505
"02","AK","Alaska",2000,NA,627963,NA
"02","AK","Alaska",2001,NA,633714,NA
"02","AK","Alaska",2002,0,642337,0
"02","AK","Alaska",2003,0,648414,0
"02","AK","Alaska",2004,0,659286,0
"02","AK","Alaska",2005,NA,666946,NA
"02","AK","Alaska",2006,NA,675302,NA
"02","AK","Alaska",2007,NA,680300,NA
"02","AK","Alaska",2008,NA,687455,NA
"02","AK","Alaska",2009,NA,698895,NA
"02","AK","Alaska",2010,NA,713910,NA
"02","AK","Alaska",2011,NA,722128,NA
"02","AK","Alaska",2012,NA,730443,NA
"02","AK","Alaska",2013,NA,737068,NA
"02","AK","Alaska",2014,NA,736283,NA
"02","AK","Alaska",2015,NA,737498,NA
"02","AK","Alaska",2016,NA,741456,NA
"02","AK","Alaska",2017,NA,739700,NA
"02","AK","Alaska",2018,NA,735139,NA
"02","AK","Alaska",2019,NA,731545,NA
"02","AK","Alaska",2020,NA,732964,NA
"02","AK","Alaska",2021,NA,734923,NA
"02","AK","Alaska",2022,NA,733276,NA
"04","AZ","Arizona",2000,0,5160586,0
"04","AZ","Arizona",2001,0,5273477,0
"04","AZ","Arizona",2002,1,5396255,0.185313704
"04","AZ","Arizona",2003,0,5510364,0
"04","AZ","Arizona",2004,4,5652404,0.7076635
"04","AZ","Arizona",2005,25,5839077,4.2814986
"04","AZ","Arizona",2006,11,6029141,1.824472176
"04","AZ","Arizona",2007,10,6167681,1.621354931
"04","AZ","Arizona",2008,17,6280362,2.706850338
"04","AZ","Arizona",2009,23,6343154,3.625956425
"04","AZ","Arizona",2010,17,6407172,2.653276672
"04","AZ","Arizona",2011,77,6472643,11.8962223
"04","AZ","Arizona",2012,50,6554978,7.627790665
"04","AZ","Arizona",2013,63,6632764,9.498302668
"04","AZ","Arizona",2014,16,6730413,2.377268676
"04","AZ","Arizona",2015,17,6829676,2.489137113
"04","AZ","Arizona",2016,27,6941072,3.889889055
"04","AZ","Arizona",2017,31,7044008,4.400903576
"04","AZ","Arizona",2018,39,7158024,5.44843102
"04","AZ","Arizona",2019,49,7278717,6.731955645
"04","AZ","Arizona",2020,35,7186683,4.87011880167805
"04","AZ","Arizona",2021,16,7272487,2.20007268490133
"04","AZ","Arizona",2022,38,7365684,5.15905922654298
"05","AR","Arkansas",2000,24,2678588,8.959944568
"05","AR","Arkansas",2001,54,2691571,20.06263257
"05","AR","Arkansas",2002,125,2705927,46.19488996
"05","AR","Arkansas",2003,48,2724816,17.61586837
"05","AR","Arkansas",2004,188,2749686,68.37144314
"05","AR","Arkansas",2005,137,2781097,49.26113688
"05","AR","Arkansas",2006,104,2821761,36.85641697
"05","AR","Arkansas",2007,122,2848650,42.82730416
"05","AR","Arkansas",2008,129,2874554,44.87652693
"05","AR","Arkansas",2009,184,2896843,63.51742224
"05","AR","Arkansas",2010,162,2921964,55.44216151
"05","AR","Arkansas",2011,558,2940667,189.752869
"05","AR","Arkansas",2012,837,2952164,283.5208342
"05","AR","Arkansas",2013,480,2959400,162.1950395
"05","AR","Arkansas",2014,824,2967392,277.6849166
"05","AR","Arkansas",2015,889,2978048,298.5176868
"05","AR","Arkansas",2016,821,2989918,274.5894703
"05","AR","Arkansas",2017,1214,3001345,404.4853224
"05","AR","Arkansas",2018,1065,3009733,353.8519862
"05","AR","Arkansas",2019,1081,3017804,358.2074913
"05","AR","Arkansas",2020,213,3014348,70.6620469832946
"05","AR","Arkansas",2021,169,3028443,55.804253208662
"05","AR","Arkansas",2022,133,3046404,43.6580309111989
"06","CA","California",2000,1,33987977,0.029422169
"06","CA","California",2001,0,34479458,0
"06","CA","California",2002,2,34871843,0.057352862
"06","CA","California",2003,1,35253159,0.028366252
"06","CA","California",2004,2,35574576,0.056219925
"06","CA","California",2005,0,35827943,0
"06","CA","California",2006,0,36021202,0
"06","CA","California",2007,1,36250311,0.02758597
"06","CA","California",2008,0,36604337,0
"06","CA","California",2009,1,36961229,0.027055377
"06","CA","California",2010,7,37319502,0.187569491
"06","CA","California",2011,8,37638369,0.212549061
"06","CA","California",2012,21,37948800,0.553377182
"06","CA","California",2013,15,38260787,0.392046301
"06","CA","California",2014,11,38596972,0.28499645
"06","CA","California",2015,10,38918045,0.256950214
"06","CA","California",2016,14,39167117,0.357442699
"06","CA","California",2017,12,39358497,0.304889691
"06","CA","California",2018,14,39461588,0.354775383
"06","CA","California",2019,15,39512223,0.379629362
"06","CA","California",2020,1,39503200,0.0253144049089694
"06","CA","California",2021,8,39145060,0.204368060746362
"06","CA","California",2022,12,39040616,0.307372199250135
"08","CO","Colorado",2000,0,4326921,0
"08","CO","Colorado",2001,2,4425687,0.451907241
"08","CO","Colorado",2002,2,4490406,0.445394025
"08","CO","Colorado",2003,3,4528732,0.66243708
"08","CO","Colorado",2004,4,4575013,0.874314455
"08","CO","Colorado",2005,4,4631888,0.863578739
"08","CO","Colorado",2006,5,4720423,1.059227107
"08","CO","Colorado",2007,3,4803868,0.62449676
"08","CO","Colorado",2008,1,4889730,0.204510269
"08","CO","Colorado",2009,1,4972195,0.20111842
"08","CO","Colorado",2010,2,5047349,0.396247614
"08","CO","Colorado",2011,3,5121108,0.585810727
"08","CO","Colorado",2012,6,5192647,1.155480047
"08","CO","Colorado",2013,6,5269035,1.138728439
"08","CO","Colorado",2014,5,5350101,0.934561796
"08","CO","Colorado",2015,7,5450623,1.284256864
"08","CO","Colorado",2016,4,5539215,0.722123983
"08","CO","Colorado",2017,10,5611885,1.781932452
"08","CO","Colorado",2018,7,5691287,1.229950273
"08","CO","Colorado",2019,3,5758736,0.520947652
"08","CO","Colorado",2020,2,5785219,0.345708606709616
"08","CO","Colorado",2021,2,5811596,0.344139544455602
"08","CO","Colorado",2022,2,5841039,0.342404835851978
"09","CT","Connecticut",2000,0,3411777,0
"09","CT","Connecticut",2001,0,3432835,0
"09","CT","Connecticut",2002,3,3458749,0.867365628
"09","CT","Connecticut",2003,0,3484336,0
"09","CT","Connecticut",2004,3,3496094,0.858100497
"09","CT","Connecticut",2005,0,3506956,0
"09","CT","Connecticut",2006,0,3517460,0
"09","CT","Connecticut",2007,0,3527270,0
"09","CT","Connecticut",2008,0,3545579,0
"09","CT","Connecticut",2009,0,3561807,0
"09","CT","Connecticut",2010,0,3579114,0
"09","CT","Connecticut",2011,0,3588283,0
"09","CT","Connecticut",2012,0,3594547,0
"09","CT","Connecticut",2013,0,3594841,0
"09","CT","Connecticut",2014,6,3594524,1.669205714
"09","CT","Connecticut",2015,5,3587122,1.39387509
"09","CT","Connecticut",2016,6,3578141,1.676848397
"09","CT","Connecticut",2017,7,3573297,1.958975143
"09","CT","Connecticut",2018,24,3571520,6.719827972
"09","CT","Connecticut",2019,5,3565287,1.402411643
"09","CT","Connecticut",2020,8,3577586,2.23614470763246
"09","CT","Connecticut",2021,4,3603691,1.10997308037787
"09","CT","Connecticut",2022,1,3608706,0.277107639137131
"10","DE","Delaware",2000,0,786373,0
"10","DE","Delaware",2001,13,795699,16.33783629
"10","DE","Delaware",2002,1,806169,1.240434698
"10","DE","Delaware",2003,1,818003,1.222489404
"10","DE","Delaware",2004,6,830803,7.221928664
"10","DE","Delaware",2005,7,845150,8.282553393
"10","DE","Delaware",2006,22,859268,25.60318783
"10","DE","Delaware",2007,17,871749,19.5010261
"10","DE","Delaware",2008,33,883874,37.33563834
"10","DE","Delaware",2009,19,891730,21.30689783
"10","DE","Delaware",2010,22,899593,24.45550377
"10","DE","Delaware",2011,20,907381,22.04145778
"10","DE","Delaware",2012,30,915179,32.78047245
"10","DE","Delaware",2013,11,923576,11.9102272
"10","DE","Delaware",2014,24,932487,25.73762422
"10","DE","Delaware",2015,19,941252,20.18588008
"10","DE","Delaware",2016,17,948921,17.91508461
"10","DE","Delaware",2017,41,956823,42.85014052
"10","DE","Delaware",2018,50,965479,51.78776545
"10","DE","Delaware",2019,36,973764,36.96994344
"10","DE","Delaware",2020,19,991862,19.1558906380121
"10","DE","Delaware",2021,19,1004881,18.907711460362
"10","DE","Delaware",2022,4,1019459,3.92364970047839
"11","DC","District of Columbia",2000,0,572046,0
"11","DC","District of Columbia",2001,1,574504,1.740631919
"11","DC","District of Columbia",2002,2,573158,3.489439212
"11","DC","District of Columbia",2003,1,568502,1.759008763
"11","DC","District of Columbia",2004,0,567754,0
"11","DC","District of Columbia",2005,2,567136,3.526491
"11","DC","District of Columbia",2006,1,570681,1.752292437
"11","DC","District of Columbia",2007,3,574404,5.222804855
"11","DC","District of Columbia",2008,6,580236,10.34062002
"11","DC","District of Columbia",2009,1,592228,1.688538874
"11","DC","District of Columbia",2010,1,605226,1.652275348
"11","DC","District of Columbia",2011,4,619800,6.45369474
"11","DC","District of Columbia",2012,2,634924,3.149983305
"11","DC","District of Columbia",2013,6,650581,9.222525712
"11","DC","District of Columbia",2014,0,662328,0
"11","DC","District of Columbia",2015,0,675400,0
"11","DC","District of Columbia",2016,4,685815,5.832476688
"11","DC","District of Columbia",2017,4,694906,5.756174216
"11","DC","District of Columbia",2018,5,701547,7.127106238
"11","DC","District of Columbia",2019,7,705749,9.918540444
"11","DC","District of Columbia",2020,5,670839,7.45335318906623
"11","DC","District of Columbia",2021,0,669037,0
"11","DC","District of Columbia",2022,0,670949,0
"12","FL","Florida",2000,12,16047515,0.747779329
"12","FL","Florida",2001,9,16356966,0.55022429
"12","FL","Florida",2002,15,16689370,0.898775688
"12","FL","Florida",2003,17,17004085,0.999759764
"12","FL","Florida",2004,22,17415318,1.263255715
"12","FL","Florida",2005,14,17842038,0.784663725
"12","FL","Florida",2006,21,18166990,1.155942729
"12","FL","Florida",2007,19,18367842,1.034416563
"12","FL","Florida",2008,19,18527305,1.025513425
"12","FL","Florida",2009,10,18652644,0.536117024
"12","FL","Florida",2010,14,18845537,0.742881458
"12","FL","Florida",2011,12,19053237,0.629814241
"12","FL","Florida",2012,31,19297822,1.606398898
"12","FL","Florida",2013,24,19545621,1.22789652
"12","FL","Florida",2014,29,19845911,1.461258191
"12","FL","Florida",2015,21,20209042,1.039138817
"12","FL","Florida",2016,12,20613477,0.58214342
"12","FL","Florida",2017,25,20963613,1.192542526
"12","FL","Florida",2018,22,21244317,1.035571066
"12","FL","Florida",2019,27,21477737,1.257115682
"12","FL","Florida",2020,14,21591299,0.64840934304138
"12","FL","Florida",2021,9,21830708,0.412263312761089
"12","FL","Florida",2022,10,22245521,0.449528693888536
"13","GA","Georgia",2000,19,8227303,2.309383768
"13","GA","Georgia",2001,9,8377038,1.074365426
"13","GA","Georgia",2002,19,8508256,2.233125096
"13","GA","Georgia",2003,65,8622793,7.538160779
"13","GA","Georgia",2004,78,8769252,8.894715308
"13","GA","Georgia",2005,86,8925922,9.63485901
"13","GA","Georgia",2006,53,9155813,5.78867218
"13","GA","Georgia",2007,60,9349988,6.417120535
"13","GA","Georgia",2008,78,9504843,8.206342809
"13","GA","Georgia",2009,52,9620846,5.404930086
"13","GA","Georgia",2010,57,9711881,5.86909992
"13","GA","Georgia",2011,88,9802431,8.977364901
"13","GA","Georgia",2012,92,9901430,9.291587175
"13","GA","Georgia",2013,81,9972479,8.122353529
"13","GA","Georgia",2014,37,10067278,3.675273495
"13","GA","Georgia",2015,114,10178447,11.20013692
"13","GA","Georgia",2016,74,10301890,7.183147947
"13","GA","Georgia",2017,71,10410330,6.820148833
"13","GA","Georgia",2018,1,10511131,0.095137241
"13","GA","Georgia",2019,27,10617423,2.542989952
"13","GA","Georgia",2020,26,10732390,2.42257316403895
"13","GA","Georgia",2021,25,10790385,2.31687747934851
"13","GA","Georgia",2022,40,10913150,3.66530286855766
"15","HI","Hawaii",2000,NA,1213519,NA
"15","HI","Hawaii",2001,0,1225948,0
"15","HI","Hawaii",2002,0,1239613,0
"15","HI","Hawaii",2003,0,1251154,0
"15","HI","Hawaii",2004,0,1273569,0
"15","HI","Hawaii",2005,0,1292729,0
"15","HI","Hawaii",2006,NA,1309731,NA
"15","HI","Hawaii",2007,NA,1315675,NA
"15","HI","Hawaii",2008,NA,1332213,NA
"15","HI","Hawaii",2009,NA,1346717,NA
"15","HI","Hawaii",2010,NA,1363963,NA
"15","HI","Hawaii",2011,NA,1379329,NA
"15","HI","Hawaii",2012,NA,1394804,NA
"15","HI","Hawaii",2013,NA,1408243,NA
"15","HI","Hawaii",2014,NA,1414538,NA
"15","HI","Hawaii",2015,NA,1422052,NA
"15","HI","Hawaii",2016,NA,1427559,NA
"15","HI","Hawaii",2017,NA,1424393,NA
"15","HI","Hawaii",2018,NA,1420593,NA
"15","HI","Hawaii",2019,NA,1415872,NA
"15","HI","Hawaii",2020,NA,1451181,NA
