Hunting_Season,County,Antlered,Antlerless
2014,Allegany,1731.0,1320.0
2014,Garrett,2486.0,1967.0
2014,Washington,2026.0,3061.0
2015,Allegany,1984.0,1384.0
2015,Garrett,2658.0,1750.0
2015,Washington,2311.0,2971.0
2016,Allegany,1662.0,1245.0
2016,Garrett,2623.0,1719.0
2016,Washington,2062.0,2674.0
2017,Allegany,2078.0,1283.0
2017,Garrett,3335.0,2014.0
2017,Washington,2135.0,2458.0
2018,Allegany,2017.0,1444.0
2018,Garrett,2827.0,2146.0
2018,Washington,2166.0,2454.0
2019,Allegany,1667.0,1179.0
2019,Garrett,2733.0,1874.0
2019,Washington,1846.0,2195.0
2020,Allegany,1921.0,1379.0
2020,Garrett,2873.0,2031.0
2020,Washington,2096.0,2616.0
2021,Allegany,1837.0,1177.0
2021,Garrett,2443.0,1480.0
2021,Washington,1889.0,2010.0
2022,Allegany,1925.0,1474.0
2022,Garrett,3113.0,1876.0
2022,Washington,2221.0,2379.0
2023,Allegany,1824.0,1128.0
2023,Garrett,3152.0,1956.0
2023,Washington,2273.0,2145.0
2024,Allegany,1868.0,1544.0
2024,Garrett,3238.0,2375.0
2024,Washington,2477.0,2589.0
2025,Allegany,1739.0,1185.0
2025,Garrett,3058.0,2088.0
2025,Washington,2337.0,2223.0
